bot,round,winningPer
Locutus,0,1
Locutus,1,1
Locutus,2,1
Locutus,3,0.75
Locutus,4,0.8333
Locutus,5,1
Locutus,6,0.9167
Locutus,7,0.9167
Locutus,8,0.9167
Locutus,9,1
Locutus,10,1
Locutus,11,1
Locutus,12,0.8333
Locutus,13,0.9167
Locutus,14,0.8333
Locutus,15,1
Locutus,16,0.8333
Locutus,17,0.8333
Locutus,18,0.9167
Locutus,19,0.9167
Locutus,20,0.9167
Locutus,21,1
Locutus,22,0.8333
Locutus,23,1
Locutus,24,0.9167
Locutus,25,0.9167
Locutus,26,1
Locutus,27,0.9167
Locutus,28,0.9167
Locutus,29,0.9167
Locutus,30,1
Locutus,31,0.9167
Locutus,32,0.8333
Locutus,33,1
Locutus,34,0.9167
Locutus,35,1
Locutus,36,1
Locutus,37,0.9167
Locutus,38,0.9167
Locutus,39,0.8333
Locutus,40,0.9167
Locutus,41,0.9167
Locutus,42,1
Locutus,43,0.8333
Locutus,44,0.9167
Locutus,45,0.9167
Locutus,46,0.9167
Locutus,47,0.9167
Locutus,48,0.9167
Locutus,49,0.9167
Locutus,50,0.9167
Locutus,51,0.9167
Locutus,52,0.8333
Locutus,53,0.8333
Locutus,54,0.9167
Locutus,55,0.9167
Locutus,56,0.8333
Locutus,57,0.9167
Locutus,58,0.8333
Locutus,59,1
Locutus,60,0.9167
Locutus,61,0.8333
Locutus,62,0.9167
Locutus,63,0.8333
Locutus,64,0.9167
Locutus,65,0.8333
Locutus,66,0.9167
Locutus,67,0.8333
Locutus,68,0.9167
Locutus,69,1
Locutus,70,0.9167
Locutus,71,1
Locutus,72,0.9167
Locutus,73,0.75
Locutus,74,0.9167
Locutus,75,0.8333
Locutus,76,0.8333
Locutus,77,0.75
Locutus,78,0.9167
Locutus,79,1
Locutus,80,0.9167
Locutus,81,0.9167
Locutus,82,1
Locutus,83,0.75
Locutus,84,1
Locutus,85,0.9167
Locutus,86,0.9167
Locutus,87,1
Locutus,88,0.9167
Locutus,89,1
Locutus,90,1
Locutus,91,0.9167
Locutus,92,1
Locutus,93,0.8333
Locutus,94,0.9167
Locutus,95,0.9167
Locutus,96,0.9167
Locutus,97,0.9167
Locutus,98,0.8333
Locutus,99,0.9167
PurpleWave,0,0.8333
PurpleWave,1,0.9167
PurpleWave,2,0.9167
PurpleWave,3,0.8333
PurpleWave,4,0.8333
PurpleWave,5,0.75
PurpleWave,6,0.75
PurpleWave,7,0.8333
PurpleWave,8,0.6667
PurpleWave,9,0.75
PurpleWave,10,0.9167
PurpleWave,11,0.9167
PurpleWave,12,0.9167
PurpleWave,13,0.8333
PurpleWave,14,0.9167
PurpleWave,15,0.8333
PurpleWave,16,0.9167
PurpleWave,17,0.9167
PurpleWave,18,0.9167
PurpleWave,19,1
PurpleWave,20,0.9167
PurpleWave,21,0.9167
PurpleWave,22,0.8333
PurpleWave,23,0.75
PurpleWave,24,0.8333
PurpleWave,25,0.8333
PurpleWave,26,0.7273
PurpleWave,27,0.75
PurpleWave,28,0.75
PurpleWave,29,0.8333
PurpleWave,30,0.9167
PurpleWave,31,0.8333
PurpleWave,32,1
PurpleWave,33,0.8333
PurpleWave,34,0.8333
PurpleWave,35,0.8333
PurpleWave,36,0.8333
PurpleWave,37,0.8333
PurpleWave,38,0.8333
PurpleWave,39,0.75
PurpleWave,40,1
PurpleWave,41,0.9167
PurpleWave,42,0.9167
PurpleWave,43,0.9167
PurpleWave,44,0.8333
PurpleWave,45,0.9167
PurpleWave,46,0.8333
PurpleWave,47,0.9167
PurpleWave,48,0.8333
PurpleWave,49,0.8333
PurpleWave,50,1
PurpleWave,51,0.8333
PurpleWave,52,0.9167
PurpleWave,53,0.9167
PurpleWave,54,1
PurpleWave,55,0.75
PurpleWave,56,0.9167
PurpleWave,57,0.7273
PurpleWave,58,0.9167
PurpleWave,59,0.8333
PurpleWave,60,0.9167
PurpleWave,61,0.9167
PurpleWave,62,0.9167
PurpleWave,63,1
PurpleWave,64,0.9167
PurpleWave,65,0.6667
PurpleWave,66,1
PurpleWave,67,1
PurpleWave,68,0.8333
