bot_1,bot_2,winnerBot,losserBot,value,Benzene,Destination,HeartbreakRidge,Aztec,TauCross,Andromeda,CircuitBreaker,EmpireoftheSun,Fortress,Python
1,1,Locutus,Locutus,0,0,0,0,0,0,0,0,0,0,0
1,2,Locutus,PurpleWave,45,5,5,4,4,4,6,4,3,4,6
1,3,Locutus,BananaBrain,89,10,10,8,10,10,8,7,10,7,9
1,4,Locutus,DaQin,83,10,8,10,2,8,10,9,9,8,9
1,5,Locutus,Steamhammer,97,9,10,10,9,10,9,10,10,10,10
1,6,Locutus,ZZZKBot,99,10,10,10,10,10,10,10,9,10,10
1,7,Locutus,Microwave,92,10,10,8,8,10,9,9,9,9,10
1,8,Locutus,Iron,99,10,10,10,10,10,9,10,10,10,10
1,9,Locutus,XiaoYi,96,10,10,10,9,7,10,10,10,10,10
1,10,Locutus,McRave,99,10,10,10,10,10,10,10,9,10,10
1,11,Locutus,UAlbertaBot,99,10,10,10,10,10,10,10,9,10,10
1,12,Locutus,AITP,100,10,10,10,10,10,10,10,10,10,10
1,13,Locutus,BunkerBoxeR,99,10,10,10,10,10,10,10,9,10,10
2,1,PurpleWave,Locutus,55,5,5,6,6,6,4,6,7,6,4
2,2,PurpleWave,PurpleWave,0,0,0,0,0,0,0,0,0,0,0
2,3,PurpleWave,BananaBrain,44,8,7,8,5,6,1,4,2,0,3
2,4,PurpleWave,DaQin,85,8,7,10,10,7,8,10,10,7,8
2,5,PurpleWave,Steamhammer,71,9,10,7,4,6,8,6,7,9,5
2,6,PurpleWave,ZZZKBot,100,10,10,10,10,10,10,10,10,10,10
2,7,PurpleWave,Microwave,93,10,9,9,10,9,9,9,9,9,10
2,8,PurpleWave,Iron,98,10,10,9,10,10,10,10,10,10,9
2,9,PurpleWave,XiaoYi,97,9,10,10,10,10,9,10,9,10,10
2,10,PurpleWave,McRave,89,10,9,10,10,9,8,10,7,7,9
2,11,PurpleWave,UAlbertaBot,94,10,10,10,10,10,10,7,8,10,9
2,12,PurpleWave,AITP,100,10,10,10,10,10,10,10,10,10,10
2,13,PurpleWave,BunkerBoxeR,97,10,9,9,10,10,10,10,9,10,10
3,1,BananaBrain,Locutus,11,0,0,2,0,0,2,3,0,3,1
3,2,BananaBrain,PurpleWave,56,2,3,2,5,4,9,6,8,10,7
3,3,BananaBrain,BananaBrain,0,0,0,0,0,0,0,0,0,0,0
3,4,BananaBrain,DaQin,51,3,4,6,8,5,3,6,6,6,4
3,5,BananaBrain,Steamhammer,85,10,7,9,8,8,7,10,10,7,9
3,6,BananaBrain,ZZZKBot,83,9,10,7,8,7,9,10,7,9,7
3,7,BananaBrain,Microwave,71,9,7,9,7,6,7,6,8,6,6
3,8,BananaBrain,Iron,59,4,7,5,6,6,7,8,5,7,4
3,9,BananaBrain,XiaoYi,57,4,8,4,5,5,4,8,4,8,7
3,10,BananaBrain,McRave,69,7,6,9,7,5,8,7,7,7,6
3,11,BananaBrain,UAlbertaBot,83,8,9,8,9,8,9,8,8,9,7
3,12,BananaBrain,AITP,100,10,10,10,10,10,10,10,10,10,10
3,13,BananaBrain,BunkerBoxeR,100,10,10,10,10,10,10,10,10,10,10
4,1,DaQin,Locutus,17,0,2,0,8,2,0,1,1,2,1
4,2,DaQin,PurpleWave,15,2,3,0,0,3,2,0,0,3,2
4,3,DaQin,BananaBrain,49,7,6,4,2,5,7,4,4,4,6
4,4,DaQin,DaQin,0,0,0,0,0,0,0,0,0,0,0
4,5,DaQin,Steamhammer,94,10,10,9,10,10,10,10,7,9,9
4,6,DaQin,ZZZKBot,10,1,2,1,1,1,2,1,0,1,0
4,7,DaQin,Microwave,83,9,6,6,9,10,8,9,10,8,8
4,8,DaQin,Iron,92,10,9,10,9,10,9,10,8,7,10
4,9,DaQin,XiaoYi,82,10,10,9,10,9,6,7,6,6,9
4,10,DaQin,McRave,41,4,6,4,4,2,5,3,4,3,6
4,11,DaQin,UAlbertaBot,78,7,10,8,9,7,8,8,7,6,8
4,12,DaQin,AITP,100,10,10,10,10,10,10,10,10,10,10
4,13,DaQin,BunkerBoxeR,100,10,10,10,9,10,10,10,10,10,10
5,1,Steamhammer,Locutus,3,1,0,0,1,0,1,0,0,0,0
5,2,Steamhammer,PurpleWave,29,1,0,3,6,4,2,4,3,1,5
5,3,Steamhammer,BananaBrain,15,0,3,1,2,2,3,0,0,3,1
5,4,Steamhammer,DaQin,6,0,0,1,0,0,0,0,3,1,1
5,5,Steamhammer,Steamhammer,0,0,0,0,0,0,0,0,0,0,0
5,6,Steamhammer,ZZZKBot,59,4,6,8,8,4,5,4,6,5,9
5,7,Steamhammer,Microwave,25,1,3,5,3,3,2,4,2,1,1
5,8,Steamhammer,Iron,67,7,9,10,4,4,9,6,6,10,2
5,9,Steamhammer,XiaoYi,50,3,6,5,2,1,8,5,8,6,6
5,10,Steamhammer,McRave,86,10,9,10,10,7,10,9,9,4,8
5,11,Steamhammer,UAlbertaBot,89,9,9,9,8,8,9,9,9,10,10
