Game ID,Round,Winner,Loser,Crash,Timeout,Map,Final Frame,Game End Type,W Score,L Score,W-l/Max,W 55,W 1000,W 10000,L 55,L 1000,L 10000,W Address,L Address,Start,Finish
0,0,PurpleWave,McRave,-,McRave,(2)Benzene.scx,19005,NORMAL,39793,46954,-0.15251,0,0,0,320,0,0,192.168.1.105,192.168.1.106,2019-10-11T18:54:14Z,2019-10-11T19:01:51Z
1,0,PurpleWave,Iron,-,-,(2)Benzene.scx,27375,NORMAL,110941,61175,0.44858,0,0,0,4,0,0,192.168.1.107,192.168.1.108,2019-10-11T18:54:57Z,2019-10-11T19:05:01Z
2,0,PurpleWave,BananaBrain,-,-,(2)Benzene.scx,12216,NORMAL,21788,11500,0.47219,0,0,0,0,0,0,192.168.1.109,192.168.1.110,2019-10-11T18:55:46Z,2019-10-11T18:59:52Z
3,0,XiaoYi,PurpleWave,-,-,(2)Benzene.scx,38752,NORMAL,163656,91990,0.43791,0,0,0,0,0,0,192.168.1.112,192.168.1.111,2019-10-11T18:56:23Z,2019-10-11T19:08:58Z
4,0,PurpleWave,UAlbertaBot,-,-,(2)Benzene.scx,16618,NORMAL,35283,9102,0.74203,0,0,0,0,0,0,192.168.1.114,192.168.1.113,2019-10-11T18:57:04Z,2019-10-11T19:02:27Z
5,0,PurpleWave,AITP,AITP,-,(2)Benzene.scx,17052,STARCRAFT_CRASH,32327,27539,0.14811,0,0,0,2,0,0,192.168.1.115,192.168.1.116,2019-10-11T18:57:49Z,2019-10-11T19:04:20Z
6,0,PurpleWave,DaQin,-,-,(2)Benzene.scx,23686,NORMAL,77019,40377,0.47575,0,0,0,0,0,0,192.168.1.110,192.168.1.109,2019-10-11T19:00:10Z,2019-10-11T19:07:47Z
7,0,PurpleWave,Microwave,-,-,(2)Benzene.scx,20586,NORMAL,49755,31310,0.37072,0,0,0,0,0,0,192.168.1.106,192.168.1.105,2019-10-11T19:02:11Z,2019-10-11T19:09:08Z
8,0,PurpleWave,Steamhammer,-,-,(2)Benzene.scx,28987,NORMAL,94872,71740,0.24382,0,0,0,0,0,0,192.168.1.113,192.168.1.114,2019-10-11T19:02:50Z,2019-10-11T19:12:32Z
9,0,PurpleWave,BunkerBoxeR,-,-,(2)Benzene.scx,13921,NORMAL,26057,6831,0.73784,0,0,0,0,0,0,192.168.1.116,192.168.1.115,2019-10-11T19:04:43Z,2019-10-11T19:09:33Z
10,0,Locutus,PurpleWave,-,-,(2)Benzene.scx,21857,NORMAL,76230,37230,0.51161,0,0,0,0,0,0,192.168.1.107,192.168.1.108,2019-10-11T19:05:25Z,2019-10-11T19:12:13Z
